Rank,Word,Part of speech,Frequency,Dispersion
286,member,Noun,134731,0.95
287,pay,Verb,133133,0.96
288,law,Noun,133706,0.95
289,meet,Verb,128737,0.98
290,car,Noun,133571,0.94
291,city,Noun,132684,0.95
292,almost,Adverb,127907,0.98
293,include,Verb,133563,0.93
294,continue,Verb,126029,0.98
295,set,Verb,127369,0.97
296,later,Adverb,126495,0.98
297,community,Noun,133057,0.93
298,much,Adverb,126029,0.98
299,name,Noun,127139,0.97
300,five,Measure,125571,0.97
301,once,Adverb,126203,0.97
302,white,Adjective,126760,0.96
303,least,Adverb,123961,0.98
304,president,Noun,134203,0.9
305,learn,Verb,124346,0.97
306,real,Adjective,124187,0.97
307,change,Verb,123183,0.98
308,team,Noun,131489,0.92
309,minute,Noun,126660,0.95
310,best,Adjective,124850,0.96
311,several,Determiner,124039,0.97
312,idea,Noun,122140,0.98
313,kid,Noun,126428,0.95
314,body,Noun,125165,0.96
315,information,Noun,127331,0.94
316,nothing,Pronoun,126717,0.94
317,ago,Adverb,125252,0.95
318,right,Adjective,126278,0.94
319,lead,Verb,122691,0.97
320,social,Adjective,132899,0.89
321,understand,Verb,121354,0.97
322,whether,Conjunction,121921,0.96
323,back,Noun,125006,0.94
324,watch,Verb,124976,0.94
325,together,Adverb,119186,0.98
326,follow,Verb,119425,0.97
327,around,Adverb,122789,0.94
328,parent,Noun,119610,0.97
329,only,Adjective,117700,0.98
330,stop,Verb,121481,0.94
331,face,Noun,127291,0.89
332,anything,Pronoun,120292,0.94
333,create,Verb,119419,0.95
334,public,Adjective,119825,0.95
335,already,Adverb,115220,0.98
336,speak,Verb,117358,0.96
337,others,Noun,115771,0.97
338,read,Verb,114094,0.97
339,level,Noun,121704,0.91
340,allow,Verb,114892,0.97
341,add,Verb,117842,0.94
342,office,Noun,114791,0.97
343,spend,Verb,114569,0.97
344,door,Noun,124993,0.88
345,health,Noun,117762,0.94
346,person,Noun,113650,0.97
347,art,Noun,117851,0.93
348,sure,Adjective,116186,0.94
349,such,Preposition,119125,0.92
350,war,Noun,117804,0.93
351,history,Noun,114904,0.95
352,party,Noun,112962,0.96
353,within,Preposition,114599,0.93
354,grow,Verb,110020,0.97
355,result,Noun,116277,0.92
356,open,Verb,111857,0.94
357,change,Noun,112426,0.94
358,morning,Noun,114002,0.92
359,walk,Verb,113787,0.92
360,reason,Noun,106863,0.97
361,low,Adjective,108990,0.95
362,win,Verb,111478,0.93
363,research,Noun,114802,0.9
364,girl,Noun,110409,0.93
365,guy,Noun,110409,0.93
366,early,Adjective,108171,0.95
367,food,Noun,107728,0.96
368,before,Conjunction,107448,0.96
369,moment,Noun,109720,0.94
370,himself,Pronoun,109288,0.94
371,air,Noun,105932,0.96
372,teacher,Noun,116100,0.88
373,force,Noun,108005,0.95
374,offer,Verb,106473,0.96
375,enough,Adverb,105880,0.96
376,both,Adverb,106361,0.95
377,education,Noun,113731,0.89
378,across,Preposition,105559,0.96
379,although,Conjunction,107925,0.93
380,remember,Verb,106879,0.94
381,foot,Noun,107285,0.94
382,second,Measure,103621,0.97
383,boy,Noun,107447,0.93
384,maybe,Adverb,108421,0.92
385,toward,Preposition,105984,0.94
386,able,Adjective,103171,0.97
387,age,Noun,103402,0.96
388,off,Preposition,104122,0.95
389,policy,Noun,107601,0.92
390,everything,Pronoun,103591,0.95
391,love,Verb,103681,0.95
392,process,Noun,107341,0.91
393,music,Noun,102657,0.95
394,including,Preposition,103650,0.94
395,consider,Verb,101987,0.96
396,appear,Verb,100671,0.97
397,actually,Adverb,105155,0.92
398,buy,Verb,101105,0.95
399,probably,Adverb,99754,0.96
400,human,Adjective,101224,0.94
401,wait,Verb,102463,0.93
402,serve,Verb,99660,0.95
403,market,Noun,100435,0.94
404,die,Verb,98376,0.96
405,send,Verb,96613,0.97
406,expect,Verb,95566,0.98
407,home,Adverb,97937,0.95
408,sense,Noun,95896,0.97
409,build,Verb,96651,0.96
410,stay,Verb,96933,0.96
411,fall,Verb,96908,0.95
412,oh,Exclamation,103613,0.89
413,nation,Noun,97212,0.95
414,plan,Noun,95824,0.96
415,cut,Verb,96012,0.95
416,college,Noun,97038,0.94
417,interest,Noun,96620,0.95
418,death,Noun,93222,0.98
419,course,Adverb,96224,0.95
420,someone,Pronoun,95608,0.95
421,experience,Noun,98106,0.93
422,behind,Preposition,95047,0.93
423,reach,Verb,92375,0.96
424,local,Adjective,92970,0.95
425,kill,Verb,92660,0.95
426,six,Measure,90571,0.97
427,remain,Verb,91319,0.96
428,effect,Noun,95216,0.92
429,use,Noun,96564,0.9
430,yeah,Exclamation,103389,0.84
431,suggest,Verb,92643,0.93
432,class,Noun,91323,0.94
433,control,Noun,90301,0.94
434,raise,Verb,87036,0.98
435,care,Noun,88862,0.96
436,perhaps,Adverb,87060,0.98
437,little,Adverb,88697,0.95
438,late,Adjective,86421,0.98
439,hard,Adjective,86817,0.97
440,field,Noun,87243,0.96
441,else,Adverb,87876,0.95
442,pass,Verb,86184,0.97
443,former,Determiner,88930,0.94
444,sell,Verb,87865,0.95
445,major,Adjective,87487,0.95
446,sometimes,Adverb,84845,0.98
447,require,Verb,89280,0.93
448,along,Preposition,84926,0.97
449,development,Noun,91995,0.9
450,themselves,Pronoun,85256,0.97
451,report,Verb,88138,0.93
452,role,Noun,88666,0.92
453,better,Adjective,83895,0.98
454,economic,Adjective,90392,0.91
455,effort,Noun,86473,0.95
456,up,Preposition,85759,0.95
457,decide,Verb,84035,0.97
458,rate,Noun,87224,0.94
459,strong,Adjective,83677,0.98
460,possible,Adjective,85084,0.96
461,heart,Noun,84536,0.96
462,drug,Noun,86231,0.94
463,show,Noun,86828,0.94
464,leader,Noun,85438,0.95
465,light,Noun,87427,0.93
466,voice,Noun,89379,0.9
467,wife,Noun,83601,0.96
468,whole,Adjective,83756,0.96
469,police,Noun,85880,0.93
470,mind,Noun,82808,0.96
471,finally,Adverb,81951,0.97
472,pull,Verb,87243,0.91
473,return,Verb,81812,0.97
474,free,Adjective,82090,0.97
475,military,Adjective,85152,0.93
476,price,Noun,84443,0.94
477,report,Noun,83174,0.95
478,less,Adverb,82930,0.95
479,according,Preposition,83773,0.94
480,decision,Noun,82429,0.95
481,explain,Verb,80797,0.97
482,son,Noun,80895,0.97
483,hope,Verb,81385,0.96
484,even,Conjunction,79087,0.98
485,develop,Verb,84835,0.92
486,view,Noun,81338,0.96
487,relationship,Noun,84549,0.92
488,carry,Verb,79513,0.97
489,town,Noun,79821,0.97
490,road,Noun,80987,0.95
491,drive,Verb,80476,0.96
492,arm,Noun,84865,0.91
493,true,Adjective,79299,0.97
494,federal,Adjective,81826,0.94
495,break,Verb,79310,0.97
496,better,Adverb,78334,0.98
497,difference,Noun,82911,0.92
498,thank,Verb,88574,0.86
499,receive,Verb,80250,0.95
500,value,Noun,82942,0.92
501,international,Adjective,81610,0.93
502,building,Noun,78487,0.97
503,action,Noun,80009,0.95
504,full,Adjective,77547,0.97
505,model,Noun,82973,0.91
506,join,Verb,80609,0.93
507,season,Noun,83743,0.89
508,society,Noun,81192,0.92
509,because,Preposition,77116,0.97
510,tax,Noun,80713,0.92
511,director,Noun,79813,0.93
512,early,Adverb,75605,0.98
513,position,Noun,77124,0.96
514,player,Noun,81358,0.91
515,agree,Verb,76753,0.96
516,especially,Adverb,76304,0.96
517,record,Noun,77509,0.94
518,pick,Verb,77197,0.95
519,wear,Verb,77921,0.94
520,paper,Noun,75383,0.97
521,special,Adjective,75298,0.97
522,space,Noun,75395,0.96
523,ground,Noun,74713,0.97
524,form,Noun,78493,0.92
525,support,Verb,76544,0.94
526,event,Noun,75559,0.95
527,official,Noun,79026,0.91
528,whose,Determiner,74914,0.96
529,matter,Noun,73842,0.97
530,everyone,Pronoun,74534,0.96
531,center,Noun,74559,0.96
532,couple,Noun,74871,0.96
533,site,Noun,75932,0.94
534,end,Verb,73099,0.97
535,project,Noun,75446,0.94
536,hit,Verb,73999,0.95
537,base,Verb,75887,0.93
538,activity,Noun,77980,0.9
539,star,Noun,73695,0.95
540,table,Noun,75228,0.93
541,need,Noun,74877,0.93
542,court,Noun,74112,0.94
543,produce,Verb,74169,0.94
544,eat,Verb,73505,0.95
545,American,Noun,73063,0.95
546,teach,Verb,72668,0.95
547,oil,Noun,74386,0.93
548,half,Determiner,70930,0.97
549,situation,Noun,72603,0.95
550,easy,Adjective,71602,0.96
551,cost,Noun,73512,0.94
552,industry,Noun,73055,0.94
553,figure,Noun,74858,0.92
554,face,Verb,69493,0.98
555,street,Noun,71645,0.95
556,image,Noun,72216,0.94
557,itself,Pronoun,71093,0.96
558,phone,Noun,71599,0.95
559,either,Adverb,69497,0.97
560,data,Noun,76594,0.88
561,cover,Verb,69387,0.97
562,quite,Adverb,69966,0.96
563,picture,Noun,69229,0.97
564,clear,Adjective,68662,0.98
565,practice,Noun,73745,0.91
566,piece,Noun,68901,0.97
567,land,Noun,69750,0.96
568,recent,Adjective,70685,0.94
569,describe,Verb,71377,0.93
570,product,Noun,70883,0.94
571,doctor,Noun,69446,0.95
572,wall,Noun,71390,0.93
573,patient,Noun,72217,0.91
574,worker,Noun,69962,0.94
575,news,Noun,70051,0.94
576,test,Noun,69870,0.94
577,movie,Noun,69387,0.94
578,certain,Adjective,67228,0.97
579,north,Noun,68046,0.96
580,love,Noun,67495,0.96
581,personal,Adjective,67917,0.96
582,open,Adjective,67218,0.97
583,support,Noun,69431,0.93
584,simply,Adverb,66712,0.97
585,third,Measure,67037,0.97
586,technology,Noun,69565,0.93
587,catch,Verb,68214,0.94
588,step,Noun,66232,0.97
589,baby,Noun,67881,0.94
590,computer,Noun,67399,0.95
591,type,Noun,68481,0.93
592,attention,Noun,65271,0.97
593,draw,Verb,65198,0.97
594,film,Noun,66724,0.95
595,Republican,Noun,71611,0.88
596,tree,Noun,66630,0.94
597,source,Noun,66862,0.94
598,red,Adjective,66217,0.94
599,nearly,Adverb,64860,0.96
600,organization,Noun,67278,0.93
601,choose,Verb,64348,0.97
602,cause,Verb,64531,0.97
603,hair,Noun,69564,0.89
604,look,Noun,66194,0.94
605,point,Verb,62980,0.98
606,century,Noun,65667,0.94
607,evidence,Noun,65360,0.94
608,window,Noun,68303,0.9
609,difficult,Adjective,63947,0.96
610,listen,Verb,64984,0.94
611,soon,Adverb,63168,0.96
612,culture,Noun,67128,0.91
613,billion,Measure,65243,0.93
614,chance,Noun,62682,0.97
615,brother,Noun,63406,0.95
616,energy,Noun,64139,0.94
617,period,Noun,64534,0.93
618,course,Noun,64012,0.94
619,summer,Noun,62503,0.96
620,less,Determiner,62154,0.96
621,realize,Verb,61732,0.97
622,hundred,Measure,61266,0.97
623,available,Adjective,63187,0.94
624,plant,Noun,63476,0.93
625,likely,Adjective,63002,0.94
626,opportunity,Noun,62422,0.95
627,term,Noun,62962,0.94
628,short,Adjective,60451,0.98
629,letter,Noun,60369,0.98
630,condition,Noun,63489,0.93
631,choice,Noun,60487,0.97
632,place,Verb,60927,0.96
633,single,Adjective,60072,0.97
634,rule,Noun,61062,0.95
635,daughter,Noun,60424,0.96
636,administration,Noun,62071,0.93
637,south,Noun,60630,0.96
638,husband,Noun,60126,0.96
639,Congress,Noun,62841,0.92
640,floor,Noun,62458,0.92
641,campaign,Noun,64172,0.9
642,material,Noun,62440,0.92
643,population,Noun,62999,0.91
644,well,Preposition,61219,0.93
645,call,Noun,59543,0.96
646,economy,Noun,60990,0.93
647,medical,Adjective,59424,0.96
648,hospital,Noun,58669,0.97
649,church,Noun,59466,0.96
650,close,Verb,60884,0.93
651,thousand,Measure,58307,0.97
652,risk,Noun,60432,0.94
653,current,Adjective,61252,0.92
654,fire,Noun,59386,0.95
655,future,Noun,58020,0.97
656,wrong,Adjective,58988,0.95
657,involve,Verb,59542,0.94
658,defense,Noun,59701,0.94
659,anyone,Pronoun,58274,0.96
660,increase,Verb,60442,0.93
661,security,Noun,58914,0.95
662,bank,Noun,58992,0.94
663,myself,Pronoun,59716,0.93
664,certainly,Adverb,59739,0.93
665,west,Noun,58169,0.95
666,sport,Noun,59006,0.94
667,board,Noun,58436,0.95
668,seek,Verb,58495,0.94
669,per,Preposition,59432,0.93
670,subject,Noun,61397,0.9
671,officer,Noun,57617,0.96
672,private,Adjective,57248,0.96
673,rest,Noun,56714,0.97
674,behavior,Noun,62625,0.88
675,deal,Verb,57462,0.96
676,performance,Noun,59909,0.92
677,fight,Verb,56886,0.96
678,throw,Verb,57784,0.95
679,top,Noun,57743,0.95
680,quickly,Adverb,56454,0.97
681,past,Adjective,56588,0.96
682,goal,Noun,58728,0.93
683,second,Noun,56022,0.97
684,bed,Noun,60304,0.9
685,order,Noun,56483,0.96
686,author,Noun,58300,0.93
687,fill,Verb,56915,0.95
688,represent,Verb,58744,0.92
689,focus,Verb,57177,0.94
690,foreign,Adjective,57540,0.94
691,drop,Verb,56448,0.95
692,plan,Verb,55829,0.96
693,blood,Noun,56351,0.95
694,upon,Preposition,57033,0.94
695,agency,Noun,56954,0.94
696,push,Verb,56103,0.95
697,nature,Noun,57929,0.92
698,color,Noun,56978,0.94
699,no,Adverb,54602,0.98
700,recently,Adverb,55992,0.95
701,store,Noun,56147,0.95
702,reduce,Verb,57029,0.93
703,sound,Noun,56828,0.94
704,note,Verb,57025,0.93
705,fine,Adjective,55174,0.96
706,before,Adverb,55608,0.95
707,near,Preposition,54869,0.96
708,movement,Noun,56201,0.94
709,page,Noun,55937,0.94
710,enter,Verb,54479,0.96
711,share,Verb,54010,0.97
712,than,Preposition,55719,0.94
713,common,Adjective,55940,0.93
714,poor,Adjective,53820,0.97
715,other,Pronoun,54372,0.96
716,natural,Adjective,55526,0.94
717,race,Noun,54838,0.95
718,concern,Noun,55203,0.94
719,series,Noun,54549,0.95
720,significant,Adjective,58947,0.88
721,similar,Adjective,55901,0.92
722,hot,Adjective,54601,0.95
723,language,Noun,55799,0.92
724,each,Pronoun,53663,0.96
725,usually,Adverb,53477,0.96
726,response,Noun,56342,0.91
727,dead,Adjective,55111,0.93
728,rise,Verb,53542,0.95
729,animal,Noun,53127,0.96
730,factor,Noun,57612,0.89
731,decade,Noun,53727,0.95
732,article,Noun,54871,0.93
733,shoot,Verb,53038,0.95
734,east,Noun,53010,0.95
735,save,Verb,52067,0.97
736,seven,Measure,52011,0.97
737,artist,Noun,54353,0.92
738,away,Preposition,52005,0.96
739,scene,Noun,51248,0.97
740,stock,Noun,54305,0.91
741,career,Noun,52101,0.95
742,despite,Preposition,51526,0.96
743,central,Adjective,52501,0.94
744,eight,Measure,50871,0.97
745,thus,Adverb,57039,0.87
746,treatment,Noun,53390,0.92
747,beyond,Preposition,50742,0.97
748,happy,Adjective,51669,0.95
749,exactly,Adverb,52685,0.93
750,protect,Verb,50649,0.97
751,approach,Noun,53980,0.91
752,lie,Verb,51657,0.95
753,size,Noun,51868,0.95
754,dog,Noun,52347,0.94
755,fund,Noun,53859,0.91
756,serious,Adjective,50285,0.97
757,occur,Verb,52768,0.93
758,media,Noun,51798,0.94
759,ready,Adjective,50833,0.96
760,sign,Noun,50045,0.98
761,thought,Noun,51509,0.95
762,list,Noun,50678,0.96
763,individual,Noun,54738,0.89
764,simple,Adjective,50583,0.96
765,quality,Noun,52224,0.93
766,pressure,Noun,50773,0.96
767,accept,Verb,49952,0.97
768,answer,Noun,49969,0.97
769,hard,Adverb,50793,0.95
770,resource,Noun,53398,0.9
771,identify,Verb,53484,0.9
772,left,Adjective,50479,0.95
773,meeting,Noun,49916,0.96
774,determine,Verb,52130,0.92
775,prepare,Verb,49208,0.98
776,disease,Noun,51211,0.94
777,whatever,Determiner,50200,0.96
778,success,Noun,50541,0.95
779,argue,Verb,51013,0.94
780,cup,Noun,53633,0.89
781,particularly,Adverb,50329,0.95
782,amount,Noun,49944,0.95
783,ability,Noun,51476,0.93
784,staff,Noun,50177,0.95
785,recognize,Verb,50042,0.95
786,indicate,Verb,53215,0.89
787,character,Noun,49530,0.96
788,growth,Noun,50904,0.93
789,loss,Noun,49759,0.95
790,degree,Noun,50612,0.94
791,wonder,Verb,50875,0.93
792,attack,Noun,50898,0.93
793,herself,Pronoun,52915,0.89
794,region,Noun,50914,0.93
795,television,Noun,49673,0.95
796,box,Noun,49667,0.95
797,TV,Noun,49438,0.95
798,training,Noun,49997,0.93
799,pretty,Adverb,50385,0.93
800,trade,Noun,49696,0.94
801,deal,Noun,48975,0.95
802,election,Noun,51322,0.91
803,everybody,Pronoun,51147,0.91
804,physical,Adjective,51451,0.9
805,lay,Verb,49358,0.94
806,general,Adjective,49657,0.93
807,feeling,Noun,47349,0.98
808,standard,Noun,49876,0.93
809,bill,Noun,49011,0.94
810,message,Noun,47533,0.97
811,fail,Verb,47503,0.97
812,outside,Preposition,46628,0.98
813,arrive,Verb,47435,0.97
814,analysis,Noun,53840,0.85
815,benefit,Noun,48594,0.94
816,name,Verb,47375,0.97
817,sex,Noun,47827,0.95
818,forward,Adverb,47877,0.95
819,lawyer,Noun,47853,0.95
820,present,Verb,49659,0.92
821,section,Noun,49764,0.91
822,environmental,Adjective,51192,0.88
823,glass,Noun,49686,0.91
824,answer,Verb,47661,0.95
825,skill,Noun,50431,0.9
826,sister,Noun,48183,0.94
827,PM,Adverb,54765,0.82
828,professor,Noun,46575,0.97
829,operation,Noun,47276,0.95
830,financial,Adjective,47803,0.94
831,crime,Noun,48010,0.93
832,stage,Noun,46346,0.97
833,ok,Adverb,54697,0.82
834,compare,Verb,48094,0.93
835,authority,Noun,47309,0.94
836,miss,Verb,46525,0.96
837,design,Noun,48605,0.92
838,sort,Noun,47086,0.95
839,one,Noun,45596,0.98
840,act,Verb,45648,0.98
841,ten,Measure,46827,0.95
842,knowledge,Noun,50335,0.88
843,gun,Noun,47305,0.94
844,station,Noun,46299,0.96
845,blue,Adjective,47622,0.93
846,state,Verb,47977,0.93
847,strategy,Noun,49126,0.9
848,little,Determiner,45469,0.97
849,clearly,Adverb,45912,0.96
850,discuss,Verb,46852,0.94
851,indeed,Adverb,46184,0.95
852,force,Verb,44931,0.97
853,truth,Noun,45155,0.97
854,song,Noun,45352,0.96
855,example,Noun,47134,0.93
856,democratic,Adjective,47299,0.92
857,check,Verb,45760,0.95
858,environment,Noun,47807,0.91
859,leg,Noun,47477,0.91
860,dark,Adjective,47565,0.91
861,public,Noun,45684,0.95
862,various,Adjective,46777,0.92
863,rather,Adverb,44934,0.96
864,laugh,Verb,48567,0.89
865,guess,Verb,48046,0.9
866,executive,Noun,47338,0.91
867,set,Noun,45121,0.96
868,study,Verb,44897,0.96
869,prove,Verb,44304,0.97
870,hang,Verb,46632,0.92
871,entire,Adjective,43997,0.98
872,rock,Noun,45225,0.95
873,design,Verb,45946,0.94
874,enough,Determiner,44378,0.97
875,forget,Verb,45571,0.94
